"p1" "p2" "p3" "p4" "p5" "p6" "p7" "p8" "p9" "p10" "p11" "p12" "p13" "p14" "p15" "p16"
"1" 14 15 5 2 1 11 3 10 16 13 12 7 6 9 4 8
"2" 16 15 7 14 6 3 12 8 1 4 13 9 5 10 11 2
"3" 7 8 9 13 14 1 16 2 5 6 4 10 11 3 15 12
"4" 9 10 11 14 15 8 3 2 7 1 4 6 5 12 16 13
"5" 7 1 4 12 16 8 15 2 3 5 11 14 10 6 13 9
"6" 14 16 15 7 8 9 11 10 13 12 1 3 2 5 6 4
"7" 3 5 4 15 16 6 14 7 10 11 2 8 9 1 12 13
"8" 2 3 11 12 4 13 5 6 1 7 14 10 15 8 9 16
"9" 1 7 3 10 15 13 16 5 8 14 11 2 12 9 6 4
"10" 4 3 11 14 16 12 15 2 9 10 8 5 1 13 7 6
"11" 4 3 8 16 15 6 14 13 2 1 7 9 10 5 12 11
"12" 14 16 3 2 1 12 4 9 15 13 11 7 6 10 5 8
"13" 7 6 9 14 15 1 16 8 4 5 3 11 12 2 13 10
"14" 14 13 1 8 7 5 6 11 15 16 12 2 3 10 9 4
"15" 10 15 5 11 4 8 2 14 7 16 3 12 9 6 13 1
"16" 4 3 5 13 15 10 16 9 1 2 12 6 8 11 14 7
"17" 13 14 12 3 1 7 2 6 15 16 8 9 10 5 4 11
"18" 2 4 8 14 15 11 16 13 3 1 9 6 7 10 12 5
"19" 6 14 7 2 8 13 5 1 12 9 3 10 16 4 15 11
"20" 12 11 1 10 9 2 8 13 16 7 3 4 15 5 14 6
"21" 6 9 5 8 12 4 16 3 11 2 15 10 14 1 7 13
"22" 1 3 6 14 15 8 16 9 10 11 4 5 2 12 13 7
"23" 4 3 6 15 14 9 16 10 1 2 12 8 7 11 13 5
"24" 5 6 2 16 15 7 14 8 9 1 10 11 4 3 13 12
"25" 7 8 9 13 14 3 16 2 6 5 4 11 10 1 15 12
"26" 12 4 6 7 2 16 3 14 8 5 11 9 1 15 10 13
"27" 1 2 6 13 14 3 15 9 4 5 8 12 11 7 16 10
"28" 14 15 7 6 5 3 11 2 16 13 4 10 8 1 9 12
"29" 10 12 5 13 14 3 16 2 11 9 4 8 6 1 15 7
"30" 4 3 5 15 14 10 13 11 2 1 12 6 7 9 16 8
"31" 5 9 15 4 3 6 2 16 8 7 10 11 12 14 1 13
"32" 13 14 15 16 1 2 12 3 11 4 5 9 6 7 8 10
"33" 11 12 4 2 13 14 15 1 16 3 8 9 10 7 6 5
"34" 6 2 9 14 13 3 16 7 4 8 5 12 10 1 15 11
"35" 14 16 4 11 9 7 8 15 12 13 5 1 3 6 10 2
"36" 2 1 10 7 5 12 13 14 3 4 16 9 8 15 6 11
"37" 1 4 8 14 15 7 16 13 3 2 6 12 9 5 10 11
"38" 7 13 1 12 14 6 16 5 11 10 15 2 3 4 8 9
"39" 9 7 8 4 1 12 3 14 6 5 15 13 16 10 2 11
"40" 12 11 5 13 15 3 16 2 10 9 4 7 8 1 14 6
"41" 8 7 1 14 15 9 16 11 5 6 12 2 4 10 13 3
"42" 9 8 5 6 7 11 14 1 12 2 13 10 3 4 15 16
"43" 3 2 8 11 12 13 10 14 1 4 15 6 7 16 9 5
"44" 6 7 11 15 14 8 16 1 10 5 12 3 9 2 13 4
"45" 7 8 6 14 16 3 15 11 12 10 2 5 4 1 13 9
"46" 7 8 6 14 16 3 15 11 12 10 2 5 4 1 13 9
