"profil1" "profil2" "profil3" "profil4" "profil5" "profil6" "profil7" "profil8" "profil9" "profil10" "profil11" "profil12" "profil13"
"1" 8 1 1 3 9 2 7 2 2 2 2 3 4
"2" 0 10 3 5 1 4 8 6 2 9 7 5 2
"3" 4 10 3 5 4 1 2 0 0 1 8 9 7
"4" 6 7 4 9 6 3 7 4 8 5 2 10 9
"5" 5 1 7 8 6 10 7 10 6 6 6 10 7
"6" 10 1 1 5 1 0 0 0 0 0 0 1 1
"7" 8 0 0 0 9 0 0 0 0 0 5 10 8
"8" 5 2 1 4 3 8 5 9 6 8 3 1 2
"9" 7 3 3 9 0 5 3 0 5 0 5 10 8
"10" 8 7 3 10 9 1 2 2 2 2 8 10 8
"11" 7 6 4 10 8 2 2 3 2 3 9 10 9
"12" 8 7 3 10 9 2 3 2 2 2 9 10 7
"13" 0 0 0 2 3 4 0 1 0 1 5 3 0
"14" 7 0 0 4 4 1 0 1 2 1 3 0 0
"15" 9 0 0 2 0 8 0 0 6 0 3 0 0
"16" 9 1 1 2 1 8 1 0 6 0 4 1 1
"17" 2 6 4 4 2 4 2 8 2 8 4 4 4
"18" 10 1 1 0 0 0 0 0 0 0 0 1 1
"19" 5 4 8 1 2 2 4 3 3 1 2 8 6
"20" 10 0 0 5 0 2 0 0 2 0 5 0 0
"21" 10 8 0 0 2 0 0 0 0 0 0 6 3
"22" 10 10 2 6 6 2 2 2 2 2 6 6 6
"23" 0 0 0 1 0 1 0 0 0 0 2 0 0
"24" 2 1 1 2 8 0 7 7 0 5 1 10 9
"25" 0 10 5 3 0 3 4 0 1 0 4 7 6
"26" 8 1 1 3 9 2 7 2 2 2 2 3 4
"27" 0 10 3 5 1 4 8 6 2 9 7 5 2
"28" 0 10 3 2 0 0 3 0 0 0 1 9 3
"29" 6 7 4 9 6 3 7 4 8 5 2 10 9
"30" 5 1 7 8 6 10 7 10 6 6 6 10 7
"31" 10 1 1 5 1 0 0 0 0 0 0 1 1
"32" 8 0 0 0 9 0 0 0 0 0 5 10 8
"33" 5 2 1 4 3 8 5 9 6 8 3 1 2
"34" 7 3 3 9 0 5 3 0 5 0 5 10 8
"35" 8 7 3 10 9 2 1 1 1 2 9 10 8
"36" 8 6 3 10 9 3 3 3 3 3 9 10 8
"37" 8 7 4 10 9 2 2 2 2 2 9 10 8
"38" 0 0 0 3 2 4 0 2 1 2 5 3 0
"39" 7 0 0 4 4 1 0 1 2 1 3 0 0
"40" 9 0 0 0 0 8 0 0 6 0 3 0 0
"41" 9 1 1 1 1 8 1 1 6 1 3 1 1
"42" 2 6 4 4 2 4 2 8 2 8 4 4 4
"43" 10 1 1 0 0 5 0 0 0 0 8 1 1
"44" 5 4 8 1 2 2 4 3 3 1 2 8 6
"45" 10 2 0 6 0 3 0 0 2 0 5 1 0
"46" 10 8 3 4 7 1 0 1 1 0 4 6 3
"47" 10 10 2 6 6 2 2 2 2 2 6 6 6
"48" 4 2 1 9 0 9 0 0 1 0 9 1 0
"49" 5 3 6 8 7 3 0 2 2 1 0 1 0
"50" 4 2 2 5 2 1 1 1 0 2 3 4 1
"51" 1 1 1 6 4 1 1 1 1 1 6 7 5
"52" 8 1 1 5 3 3 1 3 4 3 3 1 1
"53" 10 10 4 4 0 2 1 0 1 0 3 2 2
"54" 7 2 2 4 2 5 1 2 3 2 3 2 1
"55" 2 3 4 8 7 6 5 3 3 4 5 6 5
"56" 3 4 3 5 1 2 2 2 1 3 10 9 5
"57" 7 4 1 8 0 1 0 4 0 1 4 2 1
"58" 10 4 10 3 1 5 7 0 8 2 10 9 6
"59" 8 4 6 2 7 2 2 3 1 1 2 3 3
"60" 0 10 5 0 5 0 5 5 0 5 2 5 5
"61" 7 10 2 3 0 4 2 0 1 1 4 4 3
"62" 4 6 5 3 0 2 1 1 1 0 2 2 2
"63" 2 2 2 6 6 2 2 2 2 2 2 6 6
"64" 5 7 6 1 7 2 2 4 2 2 3 4 4
"65" 7 8 9 2 6 8 1 3 2 1 7 3 2
"66" 2 2 2 6 4 2 2 2 2 2 6 7 5
"67" 8 1 1 5 3 3 1 3 4 3 3 1 2
"68" 10 9 5 5 1 3 2 0 1 0 3 1 2
"69" 8 2 2 5 2 6 1 2 4 2 4 2 1
"70" 2 3 4 8 7 6 5 3 3 4 5 6 5
"71" 4 5 4 6 2 3 3 3 2 4 10 9 6
"72" 4 1 0 8 0 3 0 0 4 0 4 1 0
"73" 8 1 1 3 9 2 7 2 2 2 2 3 4
"74" 0 10 3 5 1 4 8 6 2 9 7 5 2
"75" 4 10 3 5 4 1 2 0 0 1 8 9 7
"76" 6 7 4 9 6 3 7 4 8 5 2 10 9
"77" 5 1 7 8 6 10 7 10 6 6 6 10 7
"78" 10 1 1 5 1 0 0 0 0 0 0 1 1
"79" 8 1 1 1 9 1 1 1 1 1 5 10 8
"80" 8 1 1 3 9 2 7 2 2 2 2 3 4
"81" 0 10 3 5 1 4 8 6 2 9 7 5 2
"82" 1 10 4 3 1 1 4 1 1 1 2 9 4
"83" 6 7 4 9 6 3 7 4 8 5 2 10 9
"84" 8 7 3 10 9 2 1 1 1 2 9 10 8
"85" 0 0 0 3 2 4 0 2 1 2 5 3 0
"86" 7 0 0 4 4 1 0 1 2 1 3 0 0
"87" 10 2 2 2 2 8 2 2 6 2 5 1 1
"88" 9 1 1 1 1 8 1 1 6 1 3 1 1
"89" 2 6 4 4 2 4 2 8 2 8 4 4 4
"90" 10 2 2 0 0 5 1 1 1 1 8 2 1
"91" 3 7 5 5 3 5 3 9 3 9 5 4 4
"92" 9 3 3 5 1 2 0 0 1 0 0 2 1
"93" 5 4 8 1 2 2 4 3 3 1 2 8 6
"94" 9 3 3 5 0 4 0 0 4 0 6 2 0
"95" 10 8 0 0 2 0 0 0 0 0 0 6 3
"96" 8 9 2 6 6 2 1 2 2 2 7 6 6
"97" 5 3 0 9 0 8 0 0 6 0 9 2 0
"98" 5 3 1 4 3 8 5 9 6 8 4 3 1
"99" 7 4 3 9 0 5 4 0 5 0 6 10 8
"100" 9 7 4 10 9 3 2 1 2 3 9 10 8
