Comparisons	Profile1	Profile2
0	1.0	2.0
1	4.0	3.0
2	5.0	6.0
3	8.0	7.0
4	9.0	10.0
5	11.0	12.0
6	14.0	13.0
7	16.0	15.0
8	17.0	18.0
9	19.0	20.0
10	22.0	21.0
11	24.0	23.0
12	26.0	25.0
13	27.0	28.0
14	29.0	30.0
15	31.0	32.0
16	33.0	34.0
17	35.0	36.0
18	38.0	37.0
19	40.0	39.0
20	42.0	41.0
21	43.0	44.0
22	45.0	46.0
23	47.0	48.0
24	50.0	49.0
25	51.0	52.0
26	53.0	54.0
27	55.0	56.0
28	58.0	57.0
29	60.0	59.0
30	62.0	61.0
31	63.0	64.0
32	65.0	66.0
33	68.0	67.0
34	70.0	69.0
35	71.0	72.0
36	73.0	74.0
37	75.0	76.0
38	78.0	77.0
39	79.0	80.0
40	82.0	81.0
41	84.0	83.0
42	86.0	85.0
43	88.0	87.0
44	90.0	89.0
45	91.0	92.0
46	93.0	94.0
47	96.0	95.0
48	97.0	98.0
49	99.0	100.0
50	101.0	102.0
51	103.0	104.0
52	106.0	105.0
53	107.0	108.0
54	110.0	109.0
55	111.0	112.0
56	114.0	113.0
57	116.0	115.0
58	117.0	118.0
59	120.0	119.0
60	122.0	121.0
61	124.0	123.0
62	125.0	126.0
63	128.0	127.0
64	130.0	129.0
65	132.0	131.0
66	134.0	133.0
67	135.0	136.0
68	137.0	138.0
69	139.0	140.0
70	141.0	142.0
71	143.0	144.0
72	146.0	145.0
73	148.0	147.0
74	150.0	149.0
75	151.0	152.0
76	154.0	153.0
77	155.0	156.0
78	158.0	157.0
79	160.0	159.0
80	162.0	161.0
81	164.0	163.0
82	165.0	166.0
83	167.0	168.0
84	170.0	169.0
85	172.0	171.0
86	174.0	173.0
87	175.0	176.0
88	177.0	178.0
89	180.0	179.0
90	181.0	182.0
91	183.0	184.0
92	186.0	185.0
93	188.0	187.0
94	189.0	190.0
95	191.0	192.0
96	194.0	193.0
97	196.0	195.0
98	198.0	197.0
99	199.0	200.0
100	202.0	201.0
101	203.0	204.0
102	205.0	206.0
103	207.0	208.0
104	210.0	209.0
105	212.0	211.0
106	213.0	214.0
107	216.0	215.0
108	217.0	218.0
109	219.0	220.0
110	222.0	221.0
111	223.0	224.0
112	225.0	226.0
113	227.0	228.0
114	229.0	230.0
115	231.0	232.0
116	234.0	233.0
117	236.0	235.0
118	237.0	238.0
119	239.0	240.0
120	242.0	241.0
121	244.0	243.0
122	246.0	245.0
123	248.0	247.0
124	250.0	249.0
125	251.0	252.0
126	254.0	253.0
127	256.0	255.0
128	257.0	258.0
129	260.0	259.0
130	261.0	262.0
131	264.0	263.0
132	266.0	265.0
133	267.0	268.0
134	270.0	269.0
135	272.0	271.0
136	274.0	273.0
137	276.0	275.0
138	277.0	278.0
139	279.0	280.0
140	281.0	282.0
141	284.0	283.0
142	285.0	286.0
143	287.0	288.0
144	289.0	290.0
145	291.0	292.0
146	294.0	293.0
147	295.0	296.0
148	298.0	297.0
149	300.0	299.0
150	301.0	302.0
151	303.0	304.0
152	305.0	306.0
153	307.0	308.0
154	310.0	309.0
155	312.0	311.0
156	314.0	313.0
157	316.0	315.0
158	318.0	317.0
159	319.0	320.0
160	321.0	322.0
161	323.0	324.0
162	326.0	325.0
163	328.0	327.0
164	329.0	330.0
165	331.0	332.0
166	333.0	334.0
167	336.0	335.0
168	338.0	337.0
169	340.0	339.0
170	342.0	341.0
171	343.0	344.0
172	346.0	345.0
173	348.0	347.0
174	350.0	349.0
175	352.0	351.0
176	353.0	354.0
177	356.0	355.0
178	358.0	357.0
179	359.0	360.0
180	361.0	362.0
181	364.0	363.0
182	365.0	366.0
183	368.0	367.0
184	369.0	370.0
185	371.0	372.0
186	374.0	373.0
187	376.0	375.0
188	378.0	377.0
189	380.0	379.0
190	382.0	381.0
191	384.0	383.0
192	385.0	386.0
193	387.0	388.0
194	389.0	390.0
195	392.0	391.0
196	394.0	393.0
197	395.0	396.0
198	397.0	398.0
199	399.0	400.0
200	402.0	401.0
201	404.0	403.0
202	406.0	405.0
203	408.0	407.0
204	409.0	410.0
205	411.0	412.0
206	414.0	413.0
207	415.0	416.0
208	418.0	417.0
209	420.0	419.0
210	422.0	421.0
211	423.0	424.0
212	425.0	426.0
213	427.0	428.0
214	430.0	429.0
215	432.0	431.0
216	433.0	434.0
217	435.0	436.0
218	438.0	437.0
219	439.0	440.0
220	442.0	441.0
221	443.0	444.0
222	445.0	446.0
223	447.0	448.0
224	449.0	450.0
225	451.0	452.0
226	454.0	453.0
227	455.0	456.0
228	457.0	458.0
229	459.0	460.0
230	461.0	462.0
231	463.0	464.0
232	466.0	465.0
233	467.0	468.0
234	469.0	470.0
235	472.0	471.0
236	474.0	473.0
237	475.0	476.0
238	478.0	477.0
239	479.0	480.0
240	482.0	481.0
241	483.0	484.0
242	486.0	485.0
243	488.0	487.0
244	489.0	490.0
245	491.0	492.0
246	494.0	493.0
247	496.0	495.0
248	498.0	497.0
249	500.0	499.0
250	502.0	501.0
251	504.0	503.0
252	506.0	505.0
253	508.0	507.0
254	509.0	510.0
255	511.0	512.0
256	514.0	513.0
257	516.0	515.0
258	517.0	518.0
259	520.0	519.0
260	521.0	522.0
261	523.0	524.0
262	526.0	525.0
263	527.0	528.0
264	529.0	530.0
265	532.0	531.0
266	533.0	534.0
267	535.0	536.0
268	538.0	537.0
269	540.0	539.0
270	541.0	542.0
271	543.0	544.0
272	545.0	546.0
273	547.0	548.0
274	550.0	549.0
275	551.0	552.0
276	554.0	553.0
277	555.0	556.0
278	558.0	557.0
279	560.0	559.0
280	561.0	562.0
281	564.0	563.0
282	565.0	566.0
283	568.0	567.0
284	570.0	569.0
285	571.0	572.0
286	573.0	574.0
287	575.0	576.0
288	578.0	577.0
289	579.0	580.0
290	581.0	582.0
291	584.0	583.0
292	585.0	586.0
293	587.0	588.0
294	590.0	589.0
295	592.0	591.0
296	594.0	593.0
297	596.0	595.0
298	597.0	598.0
299	599.0	600.0
300	601.0	602.0
301	603.0	604.0
302	605.0	606.0
303	608.0	607.0
304	610.0	609.0
305	611.0	612.0
306	613.0	614.0
307	616.0	615.0
308	617.0	618.0
309	619.0	620.0
310	622.0	621.0
311	624.0	623.0
312	625.0	626.0
313	628.0	627.0
314	629.0	630.0
315	632.0	631.0
316	634.0	633.0
317	636.0	635.0
318	637.0	638.0
319	640.0	639.0
320	641.0	642.0
321	643.0	644.0
322	646.0	645.0
323	647.0	648.0
324	649.0	650.0
325	652.0	651.0
326	654.0	653.0
327	656.0	655.0
328	658.0	657.0
329	660.0	659.0
330	661.0	662.0
331	664.0	663.0
332	665.0	666.0
333	667.0	668.0
334	669.0	670.0
335	671.0	672.0
336	673.0	674.0
337	675.0	676.0
338	677.0	678.0
339	680.0	679.0
340	682.0	681.0
341	684.0	683.0
342	686.0	685.0
343	687.0	688.0
344	689.0	690.0
345	692.0	691.0
346	693.0	694.0
347	696.0	695.0
348	697.0	698.0
349	700.0	699.0
350	702.0	701.0
351	703.0	704.0
352	706.0	705.0
353	708.0	707.0
354	710.0	709.0
355	711.0	712.0
