Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
1	high school	male	Iraq	seek better job	nurse	5+ years	contract with employer	once as tourist	tried English but unable
2	no formal	female	France	seek better job	child care provider	3-5 years	interviews with employer	once w/o authorization	used interpreter
3	graduate degree	female	Sudan	escape persecution	gardener	3-5 years	contract with employer	once as tourist	fluent English
4	4th grade	female	Germany	reunite with family	construction worker	5+ years	interviews with employer	never	fluent English
5	high school	female	Philippines	seek better job	nurse	5+ years	interviews with employer	once w/o authorization	broken English
6	college degree	male	Sudan	seek better job	child care provider	none	contract with employer	never	fluent English
7	two-year college	male	Iraq	escape persecution	teacher	5+ years	will look for work	never	used interpreter
8	8th grade	female	Poland	seek better job	construction worker	1-2 years	interviews with employer	once as tourist	fluent English
9	two-year college	female	Philippines	seek better job	teacher	3-5 years	interviews with employer	once as tourist	used interpreter
10	no formal	male	Mexico	seek better job	nurse	5+ years	no plans to look for work	once as tourist	used interpreter
11	4th grade	female	Sudan	escape persecution	teacher	none	will look for work	many times as tourist	fluent English
12	no formal	female	Germany	reunite with family	janitor	1-2 years	no plans to look for work	once w/o authorization	broken English
13	4th grade	female	Sudan	escape persecution	waiter	1-2 years	no plans to look for work	once as tourist	fluent English
14	graduate degree	female	Mexico	seek better job	nurse	3-5 years	will look for work	many times as tourist	fluent English
15	graduate degree	female	Philippines	seek better job	janitor	3-5 years	will look for work	six months with family	used interpreter
16	high school	female	Sudan	escape persecution	child care provider	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
17	college degree	male	Somalia	reunite with family	teacher	5+ years	interviews with employer	six months with family	broken English
18	graduate degree	female	Germany	seek better job	janitor	5+ years	will look for work	once w/o authorization	tried English but unable
19	8th grade	female	France	reunite with family	waiter	5+ years	contract with employer	six months with family	tried English but unable
20	8th grade	female	France	seek better job	child care provider	5+ years	interviews with employer	once w/o authorization	broken English
