Comparisons  Individual1    Individual2    Individual3    Individual4     
1   2    2    2    1 
2   2    2    1/2  1
3   1    1/2  1/2  1
4   1    1/2  2    2
5   2    1/2  1/2  1
6   2    2    1/2  1
7   2    2    1/2  2
8   1    1/2  2    2
9   2    1/2  1    1
10  1    1    1    1
11  1    1    2    2
12  1    1    1    1
13  1    1    1    1
14  1    1    1    2
15  1    1    2    2
16  1    1    1/2  1
17  1    1    2    2
18  1    1    1/2  1
19  1    1    1/2  1
20  1    1    1/2  2
21  1    1    2    2
22  1    1/2  2    2
23  2    1/2  1/2  1/2
24  2    2    1/2  1/2
25  2    2    1/2  2
26  2    1/2  2    2
27  2    1/2  1    1
28  2    2    1    1
29  2    2    1    1
30  2    1/2  1/2  1/2
31  2    2    1/2  1/2
32  2    2    1/2  2
33  1    1/2  2    2
34  1    1/2  1/2  2
35  1    1    2    2
36  1    1    2    2
